# Program:featureCounts v1.6.2; Command:"/work/02238/strader/lonestar/subread-1.6.2-source/bin/featureCounts" "-T" "5" "-M" "-O" "-a" "/scratch/02238/strader/Spurp/genome/Strongylocentrotus_purpuratus.Spur_3.1.39_pro.gtf" "-t" "gene" "-g" "gene_id" "-o" "MEDIP_proCounts_10July2018.txt" "BB1_BL__cleaned_Sorted_dupsRemoved.bam" "BB1_G__cleaned_Sorted_dupsRemoved.bam" "BB1_PR__cleaned_Sorted_dupsRemoved.bam" "BB2_BL__cleaned_Sorted_dupsRemoved.bam" "BB2_G__cleaned_Sorted_dupsRemoved.bam" "BB2_PR__cleaned_Sorted_dupsRemoved.bam" "BB3_BL__cleaned_Sorted_dupsRemoved.bam" "BB3_G__cleaned_Sorted_dupsRemoved.bam" "BB3_PR__cleaned_Sorted_dupsRemoved.bam" "BR1_BL__cleaned_Sorted_dupsRemoved.bam" "BR1_G__cleaned_Sorted_dupsRemoved.bam" "BR1_PR__cleaned_Sorted_dupsRemoved.bam" "BR2_BL__cleaned_Sorted_dupsRemoved.bam" "BR2_PR__cleaned_Sorted_dupsRemoved.bam" "BR3_BL__cleaned_Sorted_dupsRemoved.bam" "BR3_G__cleaned_Sorted_dupsRemoved.bam" "BR3_PR__cleaned_Sorted_dupsRemoved.bam" "RB1_BL__cleaned_Sorted_dupsRemoved.bam" "RB1_G__cleaned_Sorted_dupsRemoved.bam" "RB1_PR__cleaned_Sorted_dupsRemoved.bam" "RB2_BL__cleaned_Sorted_dupsRemoved.bam" "RB2_G__cleaned_Sorted_dupsRemoved.bam" "RB2_PR__cleaned_Sorted_dupsRemoved.bam" "RB3_BL__cleaned_Sorted_dupsRemoved.bam" "RB3_G__cleaned_Sorted_dupsRemoved.bam" "RB3_PR__cleaned_Sorted_dupsRemoved.bam" "RR1_BL__cleaned_Sorted_dupsRemoved.bam" "RR1_G__cleaned_Sorted_dupsRemoved.bam" "RR1_PR__cleaned_Sorted_dupsRemoved.bam" "RR2_BL__cleaned_Sorted_dupsRemoved.bam" "RR2_G__cleaned_Sorted_dupsRemoved.bam" "RR2_PR__cleaned_Sorted_dupsRemoved.bam" "RR3_BL__cleaned_Sorted_dupsRemoved.bam" "RR3_G__cleaned_Sorted_dupsRemoved.bam" "RR3_PR__cleaned_Sorted_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	BB1_BL__cleaned_Sorted_dupsRemoved.bam	BB1_G__cleaned_Sorted_dupsRemoved.bam	BB1_PR__cleaned_Sorted_dupsRemoved.bam	BB2_BL__cleaned_Sorted_dupsRemoved.bam	BB2_G__cleaned_Sorted_dupsRemoved.bam	BB2_PR__cleaned_Sorted_dupsRemoved.bam	BB3_BL__cleaned_Sorted_dupsRemoved.bam	BB3_G__cleaned_Sorted_dupsRemoved.bam	BB3_PR__cleaned_Sorted_dupsRemoved.bam	BR1_BL__cleaned_Sorted_dupsRemoved.bam	BR1_G__cleaned_Sorted_dupsRemoved.bam	BR1_PR__cleaned_Sorted_dupsRemoved.bam	BR2_BL__cleaned_Sorted_dupsRemoved.bam	BR2_PR__cleaned_Sorted_dupsRemoved.bam	BR3_BL__cleaned_Sorted_dupsRemoved.bam	BR3_G__cleaned_Sorted_dupsRemoved.bam	BR3_PR__cleaned_Sorted_dupsRemoved.bam	RB1_BL__cleaned_Sorted_dupsRemoved.bam	RB1_G__cleaned_Sorted_dupsRemoved.bam	RB1_PR__cleaned_Sorted_dupsRemoved.bam	RB2_BL__cleaned_Sorted_dupsRemoved.bam	RB2_G__cleaned_Sorted_dupsRemoved.bam	RB2_PR__cleaned_Sorted_dupsRemoved.bam	RB3_BL__cleaned_Sorted_dupsRemoved.bam	RB3_G__cleaned_Sorted_dupsRemoved.bam	RB3_PR__cleaned_Sorted_dupsRemoved.bam	RR1_BL__cleaned_Sorted_dupsRemoved.bam	RR1_G__cleaned_Sorted_dupsRemoved.bam	RR1_PR__cleaned_Sorted_dupsRemoved.bam	RR2_BL__cleaned_Sorted_dupsRemoved.bam	RR2_G__cleaned_Sorted_dupsRemoved.bam	RR2_PR__cleaned_Sorted_dupsRemoved.bam	RR3_BL__cleaned_Sorted_dupsRemoved.bam	RR3_G__cleaned_Sorted_dupsRemoved.bam	RR3_PR__cleaned_Sorted_dupsRemoved.bam
SPU_027209	Scaffold5	629070	630070	+	1001	1	6	5	3	2	1	1	2	2	7	3	2	3	4	2	2	3	6	5	0	2	1	2	7	3	2	4	0	6	4	1	1	8	1	3
SPU_016059	Scaffold5	635261	636261	+	1001	7	43	38	14	6	8	29	37	36	40	27	18	19	8	16	33	30	50	23	29	18	5	19	21	27	26	20	19	35	29	4	30	32	12	21
SPU_016057	Scaffold5	653802	654802	-	1001	7	23	25	15	37	13	19	16	23	14	26	16	22	15	13	39	20	9	26	22	12	2	22	28	23	9	30	15	28	14	12	11	10	13	22
SPU_009698	Scaffold5	660712	661712	-	1001	18	39	22	22	9	9	15	18	27	38	25	11	15	14	17	20	12	45	20	33	20	6	20	22	30	13	29	14	26	17	4	14	20	9	26
SPU_011336	Scaffold5	674458	675458	+	1001	43	77	80	73	34	53	57	60	86	72	73	41	48	49	49	71	49	112	67	54	57	19	77	68	74	68	82	58	56	70	35	44	59	44	53
SPU_011335	Scaffold5	714914	715914	-	1001	3	17	7	4	2	3	4	17	20	18	8	3	4	2	1	9	5	19	7	13	8	1	4	10	11	12	6	5	15	4	1	6	12	7	9
SPU_021599	Scaffold5	765358	766358	-	1001	28	43	30	32	5	12	16	34	41	73	46	23	22	14	19	17	28	39	23	33	28	11	22	24	18	39	34	22	35	35	13	20	32	23	23
SPU_026737	Scaffold5	821531	822531	+	1001	3	12	15	8	2	7	7	12	13	16	9	4	5	6	8	8	10	19	10	9	9	2	12	9	18	8	6	10	9	4	4	6	7	5	7
SPU_018969	Scaffold5	845806	846806	+	1001	350	399	167	318	140	233	293	173	346	252	347	200	157	142	167	177	169	324	233	257	210	72	231	206	233	163	160	158	203	270	117	154	172	140	230
SPU_022243	Scaffold5	879874	880874	-	1001	9	14	20	6	1	5	9	13	15	16	17	5	5	9	10	13	10	28	11	12	9	7	10	17	19	15	7	9	12	8	1	9	9	3	9
SPU_027786	Scaffold5	885164	886164	+	1001	2	5	4	5	19	3	1	3	9	7	4	2	2	2	3	4	6	8	3	2	2	1	2	4	3	3	4	4	2	7	0	1	1	1	0
SPU_022242	Scaffold5	928582	929582	-	1001	0	4	0	0	0	0	0	0	2	5	2	2	0	1	0	2	0	5	3	0	0	1	0	0	1	1	0	1	3	0	0	0	3	1	2
ENSRNA022746513	Scaffold5	1006683	1007683	-	1001	0	2	2	1	0	1	2	4	1	1	3	0	0	1	2	2	0	3	0	1	1	0	1	0	0	2	1	1	2	0	0	1	1	0	2
SPU_025185	Scaffold5	1007089	1008089	+	1001	2	8	9	5	0	2	4	5	6	14	3	2	2	2	5	3	1	15	4	6	4	0	5	5	4	7	7	3	6	3	0	5	7	1	8
SPU_027781	Scaffold5	1043592	1044592	+	1001	0	7	4	1	0	0	0	2	5	6	5	0	1	6	3	3	0	1	3	1	0	0	0	0	3	3	0	2	7	1	1	1	0	0	5
SPU_027782	Scaffold5	1083287	1084287	+	1001	10	39	36	22	11	19	22	34	37	52	46	16	32	16	27	35	40	54	31	44	28	8	27	23	41	30	24	14	28	31	12	25	31	12	41
SPU_027780	Scaffold5	1134104	1135104	-	1001	0	1	1	2	1	0	1	3	2	4	4	2	1	8	1	1	1	5	1	1	4	0	0	1	6	2	1	4	0	4	0	1	1	0	1
SPU_027783	Scaffold5	1133266	1134266	+	1001	3	0	0	0	1	0	0	1	3	0	1	0	0	0	2	2	0	3	0	1	2	1	4	1	6	1	2	0	0	1	1	0	4	2	0
SPU_027784	Scaffold5	1141243	1142243	+	1001	5	12	15	7	0	7	3	9	13	12	7	4	4	2	7	6	8	31	10	4	6	1	7	5	8	12	12	5	7	7	3	10	6	4	5
SPU_008162	Scaffold5	1186509	1187509	+	1001	1	5	7	2	3	1	6	9	4	5	5	2	3	3	1	6	3	5	2	2	3	0	2	1	3	4	1	2	2	3	1	0	0	2	5
SPU_008164	Scaffold5	1212464	1213464	-	1001	0	2	1	0	0	1	1	1	2	3	0	1	2	0	1	0	2	4	1	0	0	0	1	4	1	0	0	3	4	1	0	0	3	2	1
ENSRNA022746516	Scaffold5	1214877	1215877	+	1001	1	4	0	1	0	0	1	1	3	6	2	1	0	1	1	1	0	1	2	1	4	0	2	0	2	1	0	1	0	1	0	0	0	2	1
SPU_008163	Scaffold5	1231689	1232689	-	1001	10	28	21	33	10	12	12	18	26	25	26	11	18	13	19	35	18	43	19	24	22	6	21	21	26	22	19	16	17	22	5	18	23	10	20
SPU_014837	Scaffold5	1311284	1312284	+	1001	3	10	10	10	2	10	7	16	7	20	9	3	8	8	3	8	17	14	12	21	10	1	15	6	13	17	13	3	17	5	2	8	10	4	11
SPU_014836	Scaffold5	1337590	1338590	-	1001	3	6	8	4	1	4	1	7	5	9	6	3	2	4	3	2	0	2	1	2	6	0	5	3	3	5	3	1	6	0	0	2	4	3	2
SPU_027778	Scaffold5	1360841	1361841	-	1001	7	4	4	5	0	7	3	3	8	5	0	1	3	0	5	3	2	5	2	2	8	3	10	2	8	7	3	2	3	0	1	4	4	0	3
SPU_027777	Scaffold5	1381835	1382835	-	1001	2	6	5	0	1	4	1	5	8	6	3	2	2	2	1	5	4	8	2	3	3	0	1	4	6	1	1	2	5	1	0	3	4	1	4
SPU_021968	Scaffold5	1391423	1392423	-	1001	2	0	3	0	0	1	0	0	4	1	1	1	2	0	2	6	0	3	0	1	1	0	1	0	3	1	0	0	3	0	2	3	1	2	2
SPU_007736	Scaffold5	1403791	1404791	+	1001	0	1	3	1	0	2	0	0	3	2	1	0	1	1	2	0	0	3	0	1	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0
SPU_007740	Scaffold5	1405374	1406374	+	1001	6	16	9	20	12	8	7	9	18	11	12	7	14	5	13	14	14	22	7	10	15	3	8	3	8	5	13	7	5	7	6	3	6	2	5
SPU_007737	Scaffold5	1487124	1488124	+	1001	0	2	0	0	0	0	1	0	5	2	1	0	0	0	0	1	0	2	2	1	1	0	0	0	2	0	2	2	3	1	1	1	0	1	0
SPU_007738	Scaffold5	1606588	1607588	+	1001	1	4	2	0	0	0	0	1	0	3	0	0	0	0	0	0	0	3	1	0	1	0	1	1	2	0	1	1	0	2	0	0	1	2	1
SPU_007739	Scaffold5	1650350	1651350	+	1001	0	6	0	0	1	2	0	3	2	1	0	0	0	2	2	0	0	2	1	0	0	0	0	0	2	1	0	0	2	0	0	2	0	0	1
SPU_015673	Scaffold5	1744810	1745810	+	1001	0	2	3	1	0	1	0	1	2	5	1	0	0	7	0	1	0	9	0	0	0	1	2	1	1	4	1	3	3	2	1	1	3	2	2
SPU_015674	Scaffold5	1766246	1767246	+	1001	6	19	13	8	1	4	3	11	12	26	10	4	3	4	10	5	3	18	7	9	11	2	4	5	9	5	9	8	16	10	0	7	11	10	3
SPU_015675	Scaffold5	1828746	1829746	+	1001	62	79	54	83	45	52	45	42	56	54	56	33	54	51	36	65	54	83	70	53	37	17	68	39	56	40	48	47	34	56	39	41	44	38	48
SPU_017609	Scaffold5	1840806	1841806	+	1001	5	21	9	16	7	10	11	14	19	18	17	5	14	8	18	15	14	23	14	11	12	4	13	15	18	13	14	16	15	8	6	8	12	10	13
SPU_015676	Scaffold5	1841412	1842412	+	1001	4	28	22	18	6	12	11	19	16	21	17	5	11	7	11	24	13	37	18	15	19	1	17	14	22	9	18	15	19	12	7	10	13	11	11
SPU_015677	Scaffold5	1864231	1865231	+	1001	2	1	0	0	0	0	1	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
SPU_019484	Scaffold5	1929920	1930920	-	1001	3	6	7	2	1	0	0	4	1	10	6	3	0	4	0	3	2	2	8	2	2	2	2	2	0	5	0	3	3	5	1	1	0	2	2
SPU_019490	Scaffold5	1924547	1925547	-	1001	21	60	45	34	17	28	31	43	48	83	53	40	31	41	30	53	39	75	47	45	36	14	54	40	59	53	40	47	42	41	9	40	47	21	36
SPU_019483	Scaffold5	1947437	1948437	-	1001	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1
SPU_016391	Scaffold5	1960461	1961461	-	1001	0	5	2	2	0	0	1	3	4	3	3	0	1	2	0	4	0	2	2	2	1	0	0	1	1	1	4	1	3	3	0	0	3	1	0
SPU_007792	Scaffold5	1960457	1961457	-	1001	0	5	2	2	0	0	1	3	4	3	3	0	1	2	0	4	0	3	2	2	1	0	0	1	1	1	4	1	3	3	0	0	3	1	0
SPU_006776	Scaffold5	1984557	1985557	-	1001	2	3	2	0	0	0	1	2	5	5	2	2	2	0	0	1	2	3	3	1	2	0	0	1	2	2	0	1	3	1	0	3	2	3	0
SPU_006775	Scaffold5	1988330	1989330	-	1001	0	3	1	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	1	1	1	0	0	2	0	0	1	0	1	2	1	1	2	0	1
SPU_022588	Scaffold5	2010577	2011577	+	1001	3	7	1	1	0	1	0	1	3	3	1	0	1	0	0	2	2	3	0	1	1	3	0	1	1	1	0	1	2	5	1	0	1	0	0
SPU_012721	Scaffold5	2016945	2017945	+	1001	0	7	3	0	0	2	0	2	1	3	2	0	0	0	0	1	0	1	0	0	2	2	0	2	1	1	1	0	2	2	0	0	0	0	2
SPU_024057	Scaffold5	2050410	2051410	+	1001	0	4	3	0	0	0	0	2	2	2	0	0	0	1	4	1	0	5	2	0	2	0	0	2	2	1	0	0	4	0	0	0	0	1	3
SPU_024063	Scaffold5	2066426	2067426	-	1001	0	2	0	1	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0
SPU_024062	Scaffold5	2077075	2078075	-	1001	1	4	0	0	0	0	0	0	1	1	0	0	0	0	5	1	1	2	0	1	1	2	0	6	0	0	0	1	2	0	1	2	1	0	0
SPU_030116	Scaffold5	2075377	2076377	-	1001	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0
SPU_007791	Scaffold5	2103677	2104677	-	1001	0	2	1	0	0	0	0	3	2	2	2	0	0	1	0	1	0	2	0	0	1	0	1	0	1	1	0	0	2	0	0	0	3	0	1
SPU_001698	Scaffold5	2229504	2230504	-	1001	0	16	9	2	1	0	1	3	6	6	0	1	5	4	3	3	1	1	7	4	4	1	1	4	2	3	5	7	3	6	2	2	1	2	1
SPU_007790	Scaffold5	2115985	2116985	-	1001	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
SPU_007789	Scaffold5	2149658	2150658	-	1001	11	0	1	0	0	0	0	0	0	1	4	0	0	1	0	4	0	2	0	0	1	0	0	0	2	1	2	0	0	0	1	0	0	0	2
SPU_027699	Scaffold5	2169744	2170744	+	1001	0	2	2	0	0	0	0	2	1	10	0	0	0	5	1	0	0	3	2	0	0	0	0	2	2	1	1	0	3	2	0	0	0	2	1
SPU_027700	Scaffold5	2172797	2173797	+	1001	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	2	1	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	2
SPU_007474	Scaffold5	2208267	2209267	-	1001	1	3	1	1	0	0	0	1	2	2	2	0	0	1	0	1	0	2	0	0	2	0	0	0	0	0	1	2	2	0	0	0	1	1	2
SPU_001697	Scaffold5	2280433	2281433	-	1001	0	2	2	0	0	0	0	2	3	6	1	0	6	1	1	0	0	3	0	0	1	0	1	3	3	1	3	0	2	0	1	0	1	4	2
SPU_001695	Scaffold5	2295191	2296191	+	1001	1	3	4	0	0	2	2	1	2	0	2	0	1	1	0	0	1	1	4	0	2	0	1	1	1	1	0	0	2	2	0	3	0	4	2
SPU_015397	Scaffold5	2298864	2299864	+	1001	1	7	10	5	1	5	5	5	7	15	4	3	6	7	3	9	10	23	10	7	5	4	8	4	12	12	8	4	10	7	0	3	4	1	8
SPU_013733	Scaffold5	2298915	2299915	+	1001	1	8	10	5	1	5	5	5	8	17	4	2	7	7	3	9	10	24	9	9	6	4	8	4	15	13	11	6	12	7	0	4	4	2	8
SPU_013732	Scaffold5	2320273	2321273	-	1001	5	15	4	1	0	1	1	2	2	5	5	5	2	0	1	1	5	4	2	3	7	0	0	1	3	4	4	0	4	2	3	5	0	2	2
SPU_015399	Scaffold5	2335522	2336522	-	1001	1	6	4	3	0	1	0	3	2	6	0	1	0	1	1	3	1	2	2	1	2	1	2	2	0	2	4	0	4	1	0	0	0	0	4
SPU_015398	Scaffold5	2341375	2342375	-	1001	0	8	9	3	0	2	0	3	6	12	9	3	2	6	1	11	6	16	6	9	3	1	4	2	11	8	7	1	6	2	2	6	5	2	6
SPU_001696	Scaffold5	2346489	2347489	-	1001	0	3	2	0	2	1	2	3	3	5	4	1	3	3	0	1	1	3	5	0	0	0	0	2	2	1	3	1	2	0	0	1	4	2	2
SPU_000674	Scaffold5	2364938	2365938	+	1001	3	10	5	1	0	3	0	4	7	10	2	1	3	2	0	1	2	5	4	1	3	1	3	3	4	4	2	1	5	1	1	2	3	2	4
SPU_012986	Scaffold5	2385035	2386035	+	1001	3	27	25	6	0	7	5	15	14	19	13	6	6	10	10	13	14	19	19	18	21	1	10	15	5	24	9	4	17	8	0	8	10	4	17
SPU_013162	Scaffold5	2398311	2399311	-	1001	0	5	0	0	0	1	1	2	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	1	0	1	2	1	0	0	1	1	1	0
SPU_012161	Scaffold3	92819	93819	-	1001	3	2	3	1	1	0	2	1	3	1	1	1	2	1	1	2	0	0	2	0	1	1	0	1	2	2	2	0	4	1	0	1	0	2	0
SPU_012160	Scaffold3	103110	104110	+	1001	1	1	2	0	0	0	0	0	3	3	1	0	0	2	1	0	0	2	3	2	1	0	0	3	1	2	1	1	1	1	0	0	0	0	3
SPU_000631	Scaffold3	115270	116270	+	1001	3	23	14	6	1	7	10	11	18	25	16	9	7	7	7	13	11	20	13	16	14	3	6	11	19	14	10	10	14	14	3	17	12	7	15
SPU_000628	Scaffold3	125917	126917	-	1001	0	4	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0
SPU_000632	Scaffold3	126183	127183	+	1001	1	6	0	1	1	0	1	4	2	3	0	0	1	1	1	3	0	0	0	0	1	0	1	0	1	0	2	0	3	3	1	2	0	2	2
SPU_000627	Scaffold3	143814	144814	-	1001	1	1	5	3	0	1	1	3	4	1	2	0	0	4	1	0	0	3	1	0	1	0	0	3	2	2	0	1	3	0	0	2	0	1	5
SPU_007809	Scaffold3	152028	153028	+	1001	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	3	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SPU_022372	Scaffold3	195353	196353	-	1001	5	15	13	8	0	4	7	16	15	24	13	3	13	7	10	9	6	35	9	9	15	2	5	17	10	11	9	8	8	10	2	5	17	6	9
